{\rtf1\ansi\ansicpg1252\cocoartf2513
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs24 \cf2 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)\
102,102,Jul 23,,KCR,L4-5,43,38,4,11,3,0,0,4,2,0,14,3,0,0,0,0,1,0,.262,.337,.456,.793,12,16,L,D.Duffy(68)\
103,103,Jul 24,,KCR,L0-2,32,31,0,5,0,0,0,0,1,0,8,0,0,0,0,1,0,0,.261,.336,.454,.790,5,13,R,B.Keller(71)\
104,104,Jul 26,@,PHI,W9-2,40,31,9,8,2,0,1,9,6,0,6,1,1,1,1,1,1,1,.261,.336,.453,.790,4,15,R,J.Arrieta(40)\
105,105,Jul 27,@,PHI,W15-7,50,43,15,16,3,0,4,15,7,0,15,0,0,0,1,0,0,0,.263,.338,.457,.794,8,13,R,Z.Eflin(9)\
106,106,Jul 28,@,PHI,L4-9,37,34,4,8,1,0,2,4,3,0,10,0,0,0,0,1,1,0,.262,.337,.456,.794,6,14,R,A.Nola(49)\
107,107,Jul 29,@,WSN,L3-6,36,34,3,7,0,0,1,2,1,0,13,0,0,1,1,0,0,0,.262,.336,.455,.791,6,14,L,P.Corbin(61)\
108,108,Jul 30,@,WSN,W11-8,48,42,11,14,2,1,3,10,5,1,8,0,1,0,2,0,2,1,.263,.337,.457,.794,10,14,R,E.Fedde(7)\
109,109,Jul 31,@,WSN,W5-4,42,40,5,12,6,0,2,5,1,1,8,0,1,0,0,1,2,0,.263,.337,.459,.796,7,14,R,A.Sanchez(36)\
110,110,Aug 1,,CIN,W4-1,28,26,4,8,2,0,2,4,2,0,5,0,0,0,1,0,0,1,.263,.337,.460,.797,6,9,R,A.DeSclafani(45)\
111,111,Aug 2,,CIN,L2-5,31,30,2,4,0,0,2,2,1,0,8,0,0,0,0,1,0,0,.262,.336,.459,.795,2,14,L,A.Wood(62)\
112,112,Aug 3,,CIN,W5-4,46,35,5,8,3,1,0,4,9,0,11,1,1,0,0,0,2,0,.262,.337,.458,.794,12,16,R,T.Bauer(39)\
113,113,Aug 4,,CIN,L4-6,45,39,4,9,2,0,3,4,6,1,11,0,0,0,0,0,0,0,.262,.337,.458,.795,11,17,R,S.Gray(72)\
114,114,Aug 5,@,MIN,L3-5,39,35,3,9,0,0,1,3,4,0,10,0,0,0,0,1,0,0,.262,.336,.457,.794,9,10,R,J.Odorizzi(62)\
115,115,Aug 6,@,MIN,W12-7,47,43,12,16,1,1,2,11,4,0,13,0,0,0,1,1,2,0,.263,.337,.459,.796,8,9,R,J.Berrios(18)\
116,116,Aug 7,@,MIN,W11-7,44,41,11,17,2,0,4,10,3,0,7,0,0,0,0,1,0,0,.264,.339,.462,.800,6,9,L,M.Perez(24)\
117,117,Aug 8,@,MIA,L2-9,35,30,2,5,1,1,1,2,4,0,8,1,0,0,0,1,0,0,.264,.338,.461,.799,6,13,R,E.Hernandez(73)\
118,118,Aug 9,@,MIA,W8-4,41,37,8,12,1,0,3,8,2,1,9,1,0,1,1,2,0,0,.264,.338,.462,.801,6,13,L,C.Smith(23)\
119,119,Aug 10,@,MIA,L6-7,42,36,6,7,1,0,1,6,6,1,10,0,0,0,0,1,2,0,.264,.338,.461,.799,6,16,R,S.Alcantara(61)\
120,120,Aug 11,@,MIA,W5-4,36,30,5,5,0,0,2,5,6,0,12,0,0,0,0,1,1,1,.263,.338,.460,.798,4,15,R,H.Noesi(49)\
121,121,Aug 13,,NYM,W5-3,38,35,5,13,2,0,1,5,2,0,4,1,0,0,0,2,0,0,.264,.339,.461,.799,9,16,R,Z.Wheeler(23)\
122,122,Aug 14,,NYM,W6-4,35,31,6,8,1,0,0,6,4,0,7,0,0,0,0,1,0,0,.264,.339,.459,.798,5,15,L,S.Matz(68)\
123,123,Aug 15,,NYM,L8-10,42,37,8,11,0,0,6,8,5,0,8,0,0,0,1,2,0,0,.264,.339,.462,.801,7,14,R,M.Stroman(51)\
124,124,Aug 16,,LAD,L3-8,37,32,3,6,1,0,0,3,5,0,10,0,0,0,0,1,1,0,.264,.339,.460,.799,7,14,R,K.Maeda(47)\
125,125,Aug 17,,LAD,W4-3,32,30,4,7,4,0,2,4,1,0,8,0,1,0,0,0,0,0,.263,.338,.461,.799,4,14,L,H.Ryu(45)\
126,126,Aug 18,,LAD,W5-3,35,33,5,9,3,0,1,5,1,0,5,1,0,0,1,0,0,1,.263,.338,.461,.799,6,16,R,T.Gonsolin(50)\
127,127,Aug 20,,MIA,W5-1,37,31,5,7,3,0,2,5,3,0,5,2,1,0,2,1,1,0,.263,.338,.461,.799,8,14,R,E.Hernandez(55)\
128,128,Aug 21,,MIA,W5-0,30,24,5,3,0,1,2,5,5,0,10,0,1,0,0,1,0,1,.262,.338,.461,.799,1,12,L,C.Smith(49)\
129,129,Aug 22,,MIA,W3-2,37,33,3,6,1,0,1,3,3,0,9,1,0,0,2,0,0,0,.262,.337,.460,.797,8,13,R,S.Alcantara(74)\
130,130,Aug 23,@,NYM,W2-1,56,49,2,8,1,0,0,2,5,1,26,1,1,0,0,0,4,0,.261,.336,.457,.793,12,21,R,J.deGrom(77)\
131,131,Aug 24,@,NYM,W9-5,44,37,9,11,3,0,3,8,6,0,6,0,1,0,1,0,0,0,.261,.337,.459,.795,8,15,R,Z.Wheeler(39)\
132,132,Aug 25,@,NYM,W2-1,32,30,2,3,1,0,2,2,2,0,12,0,0,0,0,0,0,0,.260,.336,.458,.793,3,12,L,S.Matz(69)\
133,133,Aug 26,@,COL,L1-3,37,30,1,7,3,1,0,1,5,0,12,0,1,1,0,1,3,0,.260,.336,.457,.793,9,17,R,T.Melville(60)\
134,134,Aug 27,@,TOR,L1-3,39,34,1,7,3,0,0,1,5,1,10,0,0,0,0,0,1,0,.259,.335,.456,.792,11,9,R,W.Font(58)\
135,135,Aug 28,@,TOR,W9-4,43,37,9,11,3,0,2,9,5,0,8,1,0,0,1,1,0,0,.260,.336,.457,.793,7,10,R,J.Waguespack(31)\
136,136,Aug 30,,CHW,W10-7,42,35,10,13,4,0,1,9,6,0,2,1,0,0,0,1,0,0,.261,.337,.458,.795,8,16,R,I.Nova(26)\
137,137,Aug 31,,CHW,W11-5,43,34,11,12,2,0,1,10,7,1,11,1,0,1,0,0,0,0,.261,.338,.458,.796,8,16,R,R.Lopez(15)\
138,138,Sep 1,,CHW,W5-3,31,29,5,6,1,0,2,5,2,0,8,0,0,0,0,1,2,0,.261,.337,.458,.795,2,14,R,L.Giolito(54)\
139,139,Sep 2,,TOR,W6-3,35,29,6,4,0,0,2,4,6,0,10,0,0,0,2,1,2,0,.260,.337,.457,.794,5,15,R,J.Waguespack(47)\
140,140,Sep 3,,TOR,W7-2,37,31,7,8,3,1,0,7,5,0,8,1,0,0,0,0,0,0,.260,.337,.457,.794,6,15,R,W.Font(38)\
141,141,Sep 5,,WSN,W4-2,33,29,4,6,1,0,1,4,4,0,9,0,0,0,0,1,3,0,.260,.337,.456,.794,5,12,R,S.Strasburg(55)\
142,142,Sep 6,,WSN,W4-3,37,28,4,7,2,0,2,4,7,0,11,1,0,1,1,0,0,1,.260,.338,.457,.795,9,16,L,P.Corbin(58)\
143,143,Sep 7,,WSN,W5-4,34,28,5,6,0,0,4,5,6,1,10,0,0,0,0,1,1,0,.259,.338,.458,.796,5,17,R,A.Voth(52)\
